school_type, address_postcode,school_name, postal_address_line_1, school_status, postal_town, address_state, postal_postcode, lga_code, lga_name, address_line_1, postal_state, school_no, address_town, education_sector, full_phone_no, objectid
Secondary,3018,Mount St Joseph Girls' College ,PO Box 139,O,ALTONA NORTH ,VIC,3025,23110,Hobsons Bay (C),133 Maidstone Street ,VIC,1635,ALTONA ,Catholic ,03 8398 2000 ,1900
Special,3101,St Paul's College,Locked Bag 20,O,KEW,VIC,3101,21110,Boroondara (C),3-13 Fernhurst Grove ,VIC,1647,KEW,Catholic ,03 9855 7700 ,1909
Secondary,3025,Emmanuel College ,PO Box 5 ,O,ALTONA NORTH ,VIC,3025,23110,Hobsons Bay (C),423 Blackshaws Road,VIC,1654,ALTONA NORTH ,Catholic ,03 8325 5100 ,1916
Secondary,3058,Mercy College,760 Sydney Road,O,COBURG ,VIC,3058,25250,Moreland (C) ,760 Sydney Road,VIC,1661,COBURG ,Catholic ,03 9319 9299 ,1922
Primary,3034,St Martin de Porres School ,158 Military Road,O,AVONDALE HEIGHTS ,VIC,3034,25060,Moonee Valley (C),158 Military Road,VIC,1674,AVONDALE HEIGHTS ,Catholic ,03 9331 9000 ,1932
Secondary,3165,St James'College,PO Box 77,O,BENTLEIGH EAST,VIC,3165,22310,Glen Eira (C),156 Bignell Road ,VIC,1685,BENTLEIGH EAST,Catholic ,03 9575 8100 ,1939
Primary,3025,St Leo the Great School,PO Box 145,O,ALTONA NORTH ,VIC,3025,23110,Hobsons Bay (C),315 Mason Street ,VIC,1690,ALTONA NORTH ,Catholic ,03 9391 5522 ,1941
Special,3145,The Currajong School ,PO Box 8 ,O,DARLING SOUTH,VIC,3145,26350,Stonnington (C),90 Darling Road,VIC,1711,MALVERN EAST ,Independent,03 9571 7869 ,1952
Primary,3185,Sholem Aleichem College,11 Sinclair St,O,ELSTERNWICK,VIC,3185,22310,Glen Eira (C),11 Sinclair St,VIC,1729,ELSTERNWICK,Independent,03 8527 3000 ,1961
Pri/Sec,3143,The King David School,PO Box 286,O,MALVERN,VIC,3144,26350,Stonnington (C),517-519 Orrong Road,VIC,1773,ARMADALE ,Independent,03 9529 5277 ,1990
Pri/Sec,3058,Australian International Academy of Education,653 Sydney Road,O,COBURG ,VIC,3058,25250,Moreland (C) ,653 Sydney Road,VIC,1874,COBURG ,Independent,03 9350 4533 ,2061
Pri/Sec,3162,Japanese School of Melbourne,6 Ellington Street,O,CAULFIELD SOUTH,VIC,3162,22310,Glen Eira (C),6 Ellington Street,VIC,1902,CAULFIELD SOUTH,Independent,03 9528 1978 ,2077
Pri/Sec,3067,Sophia Mundi Steiner School,P.O. Box 184 ,O,ABBOTSFORD,VIC,3067,27350,Yarra (C),1 St Helliers Street ,VIC,1905,ABBOTSFORD,Independent,03 9419 9229 ,2080
Primary,3205,Galilee Regional Catholic Primary School ,301-309 Bank Street,O,SOUTH MELBOURNE,VIC,3205,25900,Port Phillip (C) ,301-309 Bank Street,VIC,1941,SOUTH MELBOURNE,Catholic ,03 9699 2928 ,2106
Primary,3073,Maharishi School of the Age of Enlightenment ,PO Box 81,O,BUNDOORA ,VIC,3083,21890,Darebin (C),2-6 Dundee Street,VIC,1961,RESERVOIR,Independent,03 9462 2888 ,2124
Secondary,3053,Stott's Colleges ,Level 1 252 Lygon Street ,O,CARLTON,VIC,3053,24600,Melbourne (C),Level 1 252 Lygon Street ,VIC,1997,CARLTON,Independent,03 9867 1122 ,2147
Special,3141,Kamaruka ,PO Box 6086,O,SOUTH YARRA,VIC,3141,27350,Yarra (C),52 River Street,VIC,1999,SOUTH YARRA,Independent,03 9429 0564 ,2149
Pri/Sec,3058,Antonine College ,PO Box 197,O,MORELAND ,VIC,3058,25250,Moreland (C) ,71 Grandview Avenue,VIC,2010,PASCOE VALE SOUTH,Catholic ,03 9354 1377 ,2154
Secondary,3000,Ozford College,Level 9 123 Lonsdale Street,O,MELBOURNE,VIC,3000,24600,Melbourne (C),Level 9 123 Lonsdale Street,VIC,2016,MELBOURNE,Independent,03 8663 7188 ,2155
Pri/Sec,3184,Yesodei HaTorah College,39 Dickens Street,O,ELWOOD ,VIC,3184,25900,Port Phillip (C) ,39 Dickens Street,VIC,2019,ELWOOD ,Independent,03 9531 3203 ,2157
Secondary,3000,Holmes Secondary College ,185 Spring Street,O,MELBOURNE,VIC,3000,24600,Melbourne (C),185 Spring Street,VIC,2024,MELBOURNE,Independent,03 9662 2055 ,2161
Secondary,3000,New Generation College,Level 6 152-168 Elizabeth Street,O,MELBOURNE,VIC,3000,24600,Melbourne (C),Level 6 152-168 Elizabeth Street,VIC,2026,MELBOURNE,Independent,03 9663 5998 ,2162
Special,3052,Parkville College,900 Park Street,O,Parkville,VIC,3052,24600,Melbourne (C),900 Park Street,VIC,8916,Parkville,Government,03 9389 4408 ,2195
Secondary,3046,Glenroy Secondary College,120 Glenroy Road ,O,Glenroy,VIC,3046,25250,Moreland (C) ,120 Glenroy Road ,VIC,8893,Glenroy,Government,03 9304 0400 ,2209
Secondary,3060,John Fawkner Secondary College ,P O Box 76,O,Fawkner,VIC,3060,25250,Moreland (C) ,Jukes Road,VIC,8894,Fawkner,Government,03 9359 1166 ,2210
Primary,3073,William Ruthven Primary School ,P O Box 388,O,Reservoir,VIC,3073,21890,Darebin (C),60 Merrilands Road,VIC,5544,Reservoir,Government,03 9460 1668 ,2211
Secondary,3073,William Ruthven Secondary College,60 Merrilands Road,O,Reservoir,VIC,3073,21890,Darebin (C),60 Merrilands Road,VIC,8895,Reservoir,Government,03 9462 2177 ,2212
Primary,3162,Melbourne Montessori School,4-6 Roselea Street,O,CAULFIELD SOUTH,VIC,3162,22310,Glen Eira (C),4-6 Roselea Street,VIC,2077,CAULFIELD SOUTH,Independent,03 9528 4478 ,2215
Special,3051,St Joseph's Flexible Learning Centre Melbourne,PO Box 287 9 The Vaucluse,O,NORTH MELBOURNE,VIC,3051,24600,Melbourne (C),385 Queensberry Street,VIC,2079,NORTH MELBOURNE,Catholic ,03 9269 6900 ,2217
